subject	linearModel	accuracy_rates	RT_accurate	RT_all_items
1.0000	1.0000	0.9333	1.7891	1.8515
2.0000	1.0000	1.0000	2.3886	2.3886
3.0000	1.0000	0.8000	2.6104	2.8084
4.0000	1.0000	0.9000	2.5372	2.6448
5.0000	1.0000	0.9333	1.8878	1.9916
6.0000	1.0000	0.7333	2.4601	2.7782
7.0000	1.0000	0.9667	2.1809	2.1963
8.0000	1.0000	0.9333	1.9382	2.0089
9.0000	1.0000	0.9333	1.9373	1.9733
10.0000	1.0000	0.8333	2.0842	2.0352
11.0000	1.0000	0.9000	2.0977	2.1367
12.0000	1.0000	0.9000	2.4774	2.5250
13.0000	1.0000	0.9667	2.2500	2.2916
14.0000	1.0000	0.9000	2.4103	2.4598
15.0000	1.0000	0.7333	2.6599	2.7412
16.0000	1.0000	0.9000	2.2045	2.2100
17.0000	1.0000	0.7917	2.0668	2.1419
18.0000	1.0000	0.9000	1.7134	1.7223
19.0000	1.0000	0.8667	2.6404	2.6899
1.0000	2.0000	0.5667	2.1972	2.3186
2.0000	2.0000	0.5625	2.3530	2.5536
3.0000	2.0000	0.7833	2.5392	2.6454
4.0000	2.0000	0.7000	2.5443	2.6968
5.0000	2.0000	0.7167	2.1612	2.2180
6.0000	2.0000	0.6833	2.7506	2.8671
7.0000	2.0000	0.7000	2.1611	2.2408
8.0000	2.0000	0.6833	2.2980	2.3245
9.0000	2.0000	0.7833	2.1715	2.1947
10.0000	2.0000	0.5667	1.9355	2.0305
11.0000	2.0000	0.6833	2.0614	2.0949
12.0000	2.0000	0.7333	2.3707	2.4329
13.0000	2.0000	0.7833	2.4003	2.4647
14.0000	2.0000	0.7167	2.2113	2.3334
15.0000	2.0000	0.4667	2.8217	2.9083
16.0000	2.0000	0.6500	2.1391	2.1961
17.0000	2.0000	0.6458	2.0900	2.1228
18.0000	2.0000	0.6667	1.9588	1.9282
19.0000	2.0000	0.6667	2.8844	2.8345
1.0000	3.0000	0.6000	2.1552	2.1452
2.0000	3.0000	0.6713	2.3809	2.5564
3.0000	3.0000	0.5889	2.5599	2.6693
4.0000	3.0000	0.8000	2.5027	2.6504
5.0000	3.0000	0.6889	2.3762	2.4275
6.0000	3.0000	0.7667	2.5485	2.6615
7.0000	3.0000	0.7556	2.1344	2.2503
8.0000	3.0000	0.7000	2.2299	2.3275
9.0000	3.0000	0.8778	2.0450	2.1152
10.0000	3.0000	0.7333	1.9780	2.0561
11.0000	3.0000	0.6667	2.2685	2.3605
12.0000	3.0000	0.7222	2.4138	2.5001
13.0000	3.0000	0.8111	2.3910	2.4509
14.0000	3.0000	0.7778	2.0695	2.2378
15.0000	3.0000	0.6444	2.6185	2.8192
16.0000	3.0000	0.7111	2.1416	2.2160
17.0000	3.0000	0.6806	2.1061	2.2314
18.0000	3.0000	0.6556	1.8391	1.8864
19.0000	3.0000	0.7000	2.4934	2.7370
1.0000	4.0000	0.6833	1.9014	2.0737
2.0000	4.0000	0.6111	2.1503	2.5037
3.0000	4.0000	0.7000	2.1034	2.4562
4.0000	4.0000	0.8333	2.1687	2.3643
5.0000	4.0000	0.6500	1.9603	2.2402
6.0000	4.0000	0.6667	2.1942	2.5694
7.0000	4.0000	0.7333	2.0614	2.2645
8.0000	4.0000	0.7500	1.9062	2.1397
9.0000	4.0000	0.8833	1.7690	1.8952
10.0000	4.0000	0.7833	1.7318	1.9656
11.0000	4.0000	0.6667	2.2159	2.3871
12.0000	4.0000	0.7333	2.3867	2.5583
13.0000	4.0000	0.8667	2.1690	2.3086
14.0000	4.0000	0.8167	1.8853	2.1282
15.0000	4.0000	0.5667	2.1637	2.7283
16.0000	4.0000	0.7000	1.8560	2.0899
17.0000	4.0000	0.7708	1.8149	1.9485
18.0000	4.0000	0.7833	1.7814	1.8571
19.0000	4.0000	0.7500	2.6033	2.7648
1.0000	5.0000	0.7000	2.3024	2.3074
2.0000	5.0000	0.5972	2.6397	2.8177
3.0000	5.0000	0.8000	2.3513	2.4240
4.0000	5.0000	0.9333	2.1799	2.2360
5.0000	5.0000	0.7333	2.1478	2.3705
6.0000	5.0000	0.9333	2.2605	2.2781
7.0000	5.0000	0.8333	1.8566	1.9582
8.0000	5.0000	0.8333	2.2020	2.3080
9.0000	5.0000	0.9667	1.8880	1.8951
10.0000	5.0000	0.8667	1.5998	1.7306
11.0000	5.0000	0.6333	1.8690	2.3078
12.0000	5.0000	0.9000	2.2852	2.3264
13.0000	5.0000	0.9667	2.0629	2.0590
14.0000	5.0000	1.0000	1.6792	1.6792
15.0000	5.0000	0.7333	2.2986	2.6513
16.0000	5.0000	0.7333	1.8312	1.9453
17.0000	5.0000	0.9583	2.1218	2.1516
18.0000	5.0000	0.8667	1.6422	1.7680
19.0000	5.0000	0.9000	2.5966	2.6893
