subject	linearModel	all_or_none	PE_same	image_activity	cue_activity
1.0000	1.0000	-1.0000	0.3235	0.1127	-0.0267
2.0000	1.0000	-1.0000	0.3177	0.0869	-0.0344
3.0000	1.0000	-1.0000	0.3312	0.0903	-0.0121
4.0000	1.0000	-1.0000	0.3393	0.0673	-0.0324
5.0000	1.0000	-1.0000	0.3221	0.0924	-0.0279
6.0000	1.0000	-1.0000	0.3555	0.1026	-0.0936
7.0000	1.0000	-1.0000	0.3425	0.0933	-0.0166
8.0000	1.0000	-1.0000	0.3275	0.0944	-0.0380
9.0000	1.0000	-1.0000	0.3191	0.1232	0.0467
10.0000	1.0000	-1.0000	0.3373	0.0917	-0.0336
11.0000	1.0000	-1.0000	0.3376	0.0883	-0.0672
12.0000	1.0000	-1.0000	0.3157	0.0993	-0.0537
13.0000	1.0000	-1.0000	0.3061	0.0579	0.0020
14.0000	1.0000	-1.0000	0.3228	0.0761	-0.0271
15.0000	1.0000	-1.0000	0.3180	0.0964	-0.0361
16.0000	1.0000	-1.0000	0.3256	0.0302	-0.0125
17.0000	1.0000	-1.0000	0.3316	0.0635	0.0333
18.0000	1.0000	-1.0000	0.3442	0.0540	-0.0312
19.0000	1.0000	-1.0000	0.3270	0.1041	0.0154
1.0000	2.0000	0.2500	0.3234	0.0798	-0.0306
2.0000	2.0000	0.2500	0.3123	0.1304	-0.0518
3.0000	2.0000	0.2500	0.3303	0.1229	0.0050
4.0000	2.0000	0.2500	0.3392	0.0750	-0.0404
5.0000	2.0000	0.2500	0.3340	0.0538	-0.0332
6.0000	2.0000	0.2500	0.3512	0.0909	-0.0648
7.0000	2.0000	0.2500	0.3339	0.0489	-0.0348
8.0000	2.0000	0.2500	0.3270	0.0985	-0.0414
9.0000	2.0000	0.2500	0.3286	0.0968	0.0133
10.0000	2.0000	0.2500	0.3166	0.0596	-0.0336
11.0000	2.0000	0.2500	0.2762	0.0896	-0.0580
12.0000	2.0000	0.2500	0.3213	0.0892	-0.0536
13.0000	2.0000	0.2500	0.3225	0.0956	0.0011
14.0000	2.0000	0.2500	0.3464	0.1168	-0.0173
15.0000	2.0000	0.2500	0.2999	0.0644	-0.0374
16.0000	2.0000	0.2500	0.3117	0.0559	-0.0163
17.0000	2.0000	0.2500	0.3075	0.0034	0.0194
18.0000	2.0000	0.2500	0.3310	0.0566	-0.0315
19.0000	2.0000	0.2500	0.3329	0.0796	-0.0072
1.0000	3.0000	0.2500	0.3214	0.0741	-0.0169
2.0000	3.0000	0.2500	0.3298	0.1398	-0.0469
3.0000	3.0000	0.2500	0.3087	0.1131	0.0008
4.0000	3.0000	0.2500	0.3423	0.0556	-0.0416
5.0000	3.0000	0.2500	0.3140	0.0433	-0.0500
6.0000	3.0000	0.2500	0.3219	0.0629	-0.0754
7.0000	3.0000	0.2500	0.3239	0.0773	-0.0249
8.0000	3.0000	0.2500	0.3282	0.0780	-0.0400
9.0000	3.0000	0.2500	0.3136	0.0947	0.0309
10.0000	3.0000	0.2500	0.3188	0.0650	-0.0432
11.0000	3.0000	0.2500	0.3034	0.0786	-0.0649
