subject	linearModel	all_or_none	acc_model	RT_model	BseriesCor	lCA1_activity	lCA23DG_activity
1.0000	1.0000	-1.0000	0.5000	0.3333	0.0974	0.0173	0.0287
2.0000	1.0000	-1.0000	0.5000	0.3333	0.3335	-0.0258	0.0389
3.0000	1.0000	-1.0000	0.5000	0.3333	0.1193	-0.0131	-0.0024
4.0000	1.0000	-1.0000	0.5000	0.3333	-0.0178	-0.0180	-0.0733
5.0000	1.0000	-1.0000	0.5000	0.3333	0.2323	0.0019	-0.0296
6.0000	1.0000	-1.0000	0.5000	0.3333	0.8094	0.0029	-0.0438
7.0000	1.0000	-1.0000	0.5000	0.3333	0.2164	-0.0077	-0.0385
8.0000	1.0000	-1.0000	0.5000	0.3333	0.2180	0.0051	-0.0760
9.0000	1.0000	-1.0000	0.5000	0.3333	0.6286	0.0382	-0.0251
10.0000	1.0000	-1.0000	0.5000	0.3333	0.2519	-0.0101	0.0066
11.0000	1.0000	-1.0000	0.5000	0.3333	0.3525	-0.0199	-0.0232
12.0000	1.0000	-1.0000	0.5000	0.3333	0.0664	0.0035	0.0203
13.0000	1.0000	-1.0000	0.5000	0.3333	-0.0535	-0.0310	-0.0113
14.0000	1.0000	-1.0000	0.5000	0.3333	0.5367	-0.0129	-0.0717
15.0000	1.0000	-1.0000	0.5000	0.3333	-0.0414	-0.0090	0.0024
16.0000	1.0000	-1.0000	0.5000	0.3333	0.3949	-0.0434	-0.0638
17.0000	1.0000	-1.0000	0.5000	0.3333	0.3233	-0.0292	0.0212
18.0000	1.0000	-1.0000	0.5000	0.3333	0.3712	-0.0238	-0.0242
19.0000	1.0000	-1.0000	0.5000	0.3333	0.3391	0.0038	0.0057
1.0000	2.0000	0.2500	-0.3333	0.3333	0.3228	-0.0187	0.0220
2.0000	2.0000	0.2500	-0.3333	0.3333	0.2163	0.0153	-0.0110
3.0000	2.0000	0.2500	-0.3333	0.3333	0.2484	0.0190	0.0117
4.0000	2.0000	0.2500	-0.3333	0.3333	0.0987	0.0024	-0.0519
5.0000	2.0000	0.2500	-0.3333	0.3333	0.3011	-0.0407	-0.0020
6.0000	2.0000	0.2500	-0.3333	0.3333	0.2998	0.0035	-0.0677
7.0000	2.0000	0.2500	-0.3333	0.3333	0.0424	-0.0082	-0.0632
8.0000	2.0000	0.2500	-0.3333	0.3333	0.6891	0.0125	-0.0348
9.0000	2.0000	0.2500	-0.3333	0.3333	0.1887	0.0145	-0.0563
10.0000	2.0000	0.2500	-0.3333	0.3333	0.0727	-0.0110	0.0104
11.0000	2.0000	0.2500	-0.3333	0.3333	0.1015	-0.0002	-0.0406
12.0000	2.0000	0.2500	-0.3333	0.3333	0.2358	-0.0083	0.0013
13.0000	2.0000	0.2500	-0.3333	0.3333	0.2103	0.0105	-0.0037
14.0000	2.0000	0.2500	-0.3333	0.3333	0.3942	0.0118	-0.0695
15.0000	2.0000	0.2500	-0.3333	0.3333	0.2184	-0.0096	-0.0208
16.0000	2.0000	0.2500	-0.3333	0.3333	0.3683	-0.0351	-0.0089
17.0000	2.0000	0.2500	-0.3333	0.3333	0.3431	-0.0700	-0.0717
18.0000	2.0000	0.2500	-0.3333	0.3333	0.0829	-0.0150	0.0123
19.0000	2.0000	0.2500	-0.3333	0.3333	0.2242	0.0070	0.0311
1.0000	3.0000	0.2500	-0.3333	0.3333	0.2286	-0.0125	0.0140
2.0000	3.0000	0.2500	-0.3333	0.3333	0.4350	0.0220	0.0116
3.0000	3.0000	0.2500	-0.3333	0.3333	0.0823	0.0263	0.0056
4.0000	3.0000	0.2500	-0.3333	0.3333	0.0059	-0.0210	-0.0410
5.0000	3.0000	0.2500	-0.3333	0.3333	0.3404	-0.0394	-0.0174
6.0000	3.0000	0.2500	-0.3333	0.3333	0.4494	-0.0302	-0.0352
7.0000	3.0000	0.2500	-0.3333	0.3333	0.0204	-0.0012	-0.0499
8.0000	3.0000	0.2500	-0.3333	0.3333	0.3569	0.0029	-0.0339
9.0000	3.0000	0.2500	-0.3333	0.3333	0.3436	0.0136	-0.0737
10.0000	3.0000	0.2500	-0.3333	0.3333	0.4877	0.0014	-0.0133
11.0000	3.0000	0.2500	-0.3333	0.3333	0.2164	-0.0117	-0.0680
12.0000	3.0000	0.2500	-0.3333	0.3333	0.2349	0.0105	0.0070
13.0000	3.0000	0.2500	-0.3333	0.3333	0.0100	-0.0161	-0.0196
14.0000	3.0000	0.2500	-0.3333	0.3333	0.2689	-0.0079	-0.0543
15.0000	3.0000	0.2500	-0.3333	0.3333	0.3582	-0.0215	0.0160
16.0000	3.0000	0.2500	-0.3333	0.3333	0.1572	-0.0154	-0.0080
17.0000	3.0000	0.2500	-0.3333	0.3333	0.3898	-0.0486	-0.0154
18.0000	3.0000	0.2500	-0.3333	0.3333	0.0044	-0.0080	-0.0087
19.0000	3.0000	0.2500	-0.3333	0.3333	0.4169	0.0145	0.0031
1.0000	4.0000	0.2500	-0.3333	-0.5000	0.3068	0.0069	-0.0038
2.0000	4.0000	0.2500	-0.3333	-0.5000	0.1040	0.0440	-0.0651
3.0000	4.0000	0.2500	-0.3333	-0.5000	0.0803	0.0483	0.0710
4.0000	4.0000	0.2500	-0.3333	-0.5000	0.1337	-0.0019	-0.0048
5.0000	4.0000	0.2500	-0.3333	-0.5000	0.2349	-0.0193	-0.0251
6.0000	4.0000	0.2500	-0.3333	-0.5000	0.2507	-0.0300	-0.0181
7.0000	4.0000	0.2500	-0.3333	-0.5000	0.1577	0.0097	-0.0807
8.0000	4.0000	0.2500	-0.3333	-0.5000	0.3766	0.0099	-0.1093
9.0000	4.0000	0.2500	-0.3333	-0.5000	0.1395	0.0115	-0.0061
10.0000	4.0000	0.2500	-0.3333	-0.5000	0.1909	0.0078	0.0058
11.0000	4.0000	0.2500	-0.3333	-0.5000	0.0211	-0.0079	-0.0531
12.0000	4.0000	0.2500	-0.3333	-0.5000	0.1295	-0.0079	0.0093
13.0000	4.0000	0.2500	-0.3333	-0.5000	0.2080	-0.0064	-0.0177
14.0000	4.0000	0.2500	-0.3333	-0.5000	0.5237	0.0190	-0.0242
15.0000	4.0000	0.2500	-0.3333	-0.5000	-0.0020	0.0025	-0.0248
16.0000	4.0000	0.2500	-0.3333	-0.5000	0.2992	0.0091	-0.0201
17.0000	4.0000	0.2500	-0.3333	-0.5000	0.2665	-0.0792	-0.0519
18.0000	4.0000	0.2500	-0.3333	-0.5000	0.1544	-0.0355	-0.0192
19.0000	4.0000	0.2500	-0.3333	-0.5000	0.1804	-0.0039	0.0006
1.0000	5.0000	0.2500	0.5000	-0.5000	-0.2794	-0.0134	0.0253
2.0000	5.0000	0.2500	0.5000	-0.5000	0.2601	0.0144	0.0333
3.0000	5.0000	0.2500	0.5000	-0.5000	-0.0494	0.0210	0.0281
4.0000	5.0000	0.2500	0.5000	-0.5000	-0.0654	0.0180	-0.0172
5.0000	5.0000	0.2500	0.5000	-0.5000	-0.0380	-0.0064	0.0043
6.0000	5.0000	0.2500	0.5000	-0.5000	0.2691	0.0361	0.0028
7.0000	5.0000	0.2500	0.5000	-0.5000	0.0225	-0.0003	-0.1281
8.0000	5.0000	0.2500	0.5000	-0.5000	0.1781	0.0333	-0.0150
9.0000	5.0000	0.2500	0.5000	-0.5000	0.3083	0.0019	0.0425
10.0000	5.0000	0.2500	0.5000	-0.5000	0.0656	-0.0159	-0.0038
11.0000	5.0000	0.2500	0.5000	-0.5000	0.2716	0.0032	-0.0571
12.0000	5.0000	0.2500	0.5000	-0.5000	-0.0261	-0.0220	0.0146
13.0000	5.0000	0.2500	0.5000	-0.5000	0.0678	0.0045	-0.0135
14.0000	5.0000	0.2500	0.5000	-0.5000	0.4191	0.0553	-0.0364
15.0000	5.0000	0.2500	0.5000	-0.5000	-0.1023	0.0086	0.0508
16.0000	5.0000	0.2500	0.5000	-0.5000	0.3817	-0.0272	-0.0815
17.0000	5.0000	0.2500	0.5000	-0.5000	0.2633	-0.0562	-0.0519
18.0000	5.0000	0.2500	0.5000	-0.5000	0.1102	0.0167	0.0075
19.0000	5.0000	0.2500	0.5000	-0.5000	0.2480	0.0187	0.0419
