subject	linearModel	all_or_none	acc_model	RT_model	BseriesCor	lCA1_activity	lEnt_activity
1.0000	1.0000	-1.0000	0.5000	0.3333	0.0536	0.0173	-0.0015
2.0000	1.0000	-1.0000	0.5000	0.3333	-0.1428	-0.0258	0.0243
3.0000	1.0000	-1.0000	0.5000	0.3333	0.2721	-0.0131	0.0012
4.0000	1.0000	-1.0000	0.5000	0.3333	-0.0197	-0.0180	0.0008
5.0000	1.0000	-1.0000	0.5000	0.3333	-0.1396	0.0019	-0.0651
6.0000	1.0000	-1.0000	0.5000	0.3333	-0.1471	0.0029	0.0282
7.0000	1.0000	-1.0000	0.5000	0.3333	-0.2355	-0.0077	-0.0205
8.0000	1.0000	-1.0000	0.5000	0.3333	0.1250	0.0051	0.0668
9.0000	1.0000	-1.0000	0.5000	0.3333	-0.1305	0.0382	-0.0037
10.0000	1.0000	-1.0000	0.5000	0.3333	-0.0077	-0.0101	-0.0179
11.0000	1.0000	-1.0000	0.5000	0.3333	-0.3001	-0.0199	-0.0320
12.0000	1.0000	-1.0000	0.5000	0.3333	-0.0955	0.0035	0.0041
13.0000	1.0000	-1.0000	0.5000	0.3333	0.1293	-0.0310	-0.0226
14.0000	1.0000	-1.0000	0.5000	0.3333	-0.1150	-0.0129	-0.0511
15.0000	1.0000	-1.0000	0.5000	0.3333	-0.3833	-0.0090	-0.0313
16.0000	1.0000	-1.0000	0.5000	0.3333	0.0563	-0.0434	-0.0238
17.0000	1.0000	-1.0000	0.5000	0.3333	-0.1801	-0.0292	0.0377
18.0000	1.0000	-1.0000	0.5000	0.3333	0.0579	-0.0238	0.0061
19.0000	1.0000	-1.0000	0.5000	0.3333	-0.1923	0.0038	0.0827
1.0000	2.0000	0.2500	-0.3333	0.3333	0.0671	-0.0187	-0.0076
2.0000	2.0000	0.2500	-0.3333	0.3333	0.1486	0.0153	-0.0382
3.0000	2.0000	0.2500	-0.3333	0.3333	0.0385	0.0190	0.0121
4.0000	2.0000	0.2500	-0.3333	0.3333	0.2178	0.0024	-0.0004
5.0000	2.0000	0.2500	-0.3333	0.3333	0.0109	-0.0407	-0.0194
6.0000	2.0000	0.2500	-0.3333	0.3333	-0.0298	0.0035	-0.0173
7.0000	2.0000	0.2500	-0.3333	0.3333	-0.2053	-0.0082	0.0034
8.0000	2.0000	0.2500	-0.3333	0.3333	0.0535	0.0125	0.0581
9.0000	2.0000	0.2500	-0.3333	0.3333	-0.1396	0.0145	-0.0333
10.0000	2.0000	0.2500	-0.3333	0.3333	-0.0888	-0.0110	0.0239
11.0000	2.0000	0.2500	-0.3333	0.3333	-0.0915	-0.0002	-0.0077
12.0000	2.0000	0.2500	-0.3333	0.3333	0.1648	-0.0083	0.0046
13.0000	2.0000	0.2500	-0.3333	0.3333	0.2504	0.0105	0.0053
14.0000	2.0000	0.2500	-0.3333	0.3333	0.0468	0.0118	-0.0215
15.0000	2.0000	0.2500	-0.3333	0.3333	-0.1361	-0.0096	-0.0149
16.0000	2.0000	0.2500	-0.3333	0.3333	0.1057	-0.0351	0.0024
17.0000	2.0000	0.2500	-0.3333	0.3333	-0.0047	-0.0700	-0.0339
18.0000	2.0000	0.2500	-0.3333	0.3333	0.1806	-0.0150	0.0043
19.0000	2.0000	0.2500	-0.3333	0.3333	0.2199	0.0070	0.0365
1.0000	3.0000	0.2500	-0.3333	0.3333	-0.0345	-0.0125	-0.0164
2.0000	3.0000	0.2500	-0.3333	0.3333	0.0806	0.0220	-0.0226
3.0000	3.0000	0.2500	-0.3333	0.3333	0.1548	0.0263	0.0001
4.0000	3.0000	0.2500	-0.3333	0.3333	0.1133	-0.0210	0.0019
5.0000	3.0000	0.2500	-0.3333	0.3333	0.0145	-0.0394	-0.0226
6.0000	3.0000	0.2500	-0.3333	0.3333	0.1246	-0.0302	0.0133
7.0000	3.0000	0.2500	-0.3333	0.3333	0.0611	-0.0012	0.0076
8.0000	3.0000	0.2500	-0.3333	0.3333	0.1931	0.0029	0.0419
9.0000	3.0000	0.2500	-0.3333	0.3333	-0.2790	0.0136	-0.0379
10.0000	3.0000	0.2500	-0.3333	0.3333	0.1331	0.0014	0.0069
11.0000	3.0000	0.2500	-0.3333	0.3333	0.1583	-0.0117	-0.0019
12.0000	3.0000	0.2500	-0.3333	0.3333	-0.0141	0.0105	-0.0018
13.0000	3.0000	0.2500	-0.3333	0.3333	0.0818	-0.0161	-0.0100
14.0000	3.0000	0.2500	-0.3333	0.3333	0.2572	-0.0079	-0.0139
15.0000	3.0000	0.2500	-0.3333	0.3333	0.0304	-0.0215	-0.0170
16.0000	3.0000	0.2500	-0.3333	0.3333	0.0626	-0.0154	0.0101
17.0000	3.0000	0.2500	-0.3333	0.3333	0.0573	-0.0486	-0.0511
18.0000	3.0000	0.2500	-0.3333	0.3333	0.1935	-0.0080	0.0270
19.0000	3.0000	0.2500	-0.3333	0.3333	0.0577	0.0145	0.0307
1.0000	4.0000	0.2500	-0.3333	-0.5000	0.1537	0.0069	0.0032
2.0000	4.0000	0.2500	-0.3333	-0.5000	-0.0276	0.0440	0.0168
3.0000	4.0000	0.2500	-0.3333	-0.5000	0.0279	0.0483	-0.0146
4.0000	4.0000	0.2500	-0.3333	-0.5000	0.0930	-0.0019	0.0450
5.0000	4.0000	0.2500	-0.3333	-0.5000	0.0619	-0.0193	-0.0221
6.0000	4.0000	0.2500	-0.3333	-0.5000	0.0095	-0.0300	-0.0029
7.0000	4.0000	0.2500	-0.3333	-0.5000	0.1282	0.0097	0.0240
8.0000	4.0000	0.2500	-0.3333	-0.5000	0.3973	0.0099	0.0113
9.0000	4.0000	0.2500	-0.3333	-0.5000	-0.0648	0.0115	-0.0434
10.0000	4.0000	0.2500	-0.3333	-0.5000	0.1159	0.0078	-0.0201
11.0000	4.0000	0.2500	-0.3333	-0.5000	0.2273	-0.0079	-0.0254
12.0000	4.0000	0.2500	-0.3333	-0.5000	-0.1561	-0.0079	-0.0111
13.0000	4.0000	0.2500	-0.3333	-0.5000	0.0169	-0.0064	-0.0215
14.0000	4.0000	0.2500	-0.3333	-0.5000	0.1898	0.0190	-0.0284
15.0000	4.0000	0.2500	-0.3333	-0.5000	0.2846	0.0025	-0.0287
16.0000	4.0000	0.2500	-0.3333	-0.5000	0.1605	0.0091	-0.0106
17.0000	4.0000	0.2500	-0.3333	-0.5000	0.1183	-0.0792	-0.0267
18.0000	4.0000	0.2500	-0.3333	-0.5000	0.0389	-0.0355	0.0116
19.0000	4.0000	0.2500	-0.3333	-0.5000	0.0041	-0.0039	0.0507
1.0000	5.0000	0.2500	0.5000	-0.5000	0.0283	-0.0134	0.0083
2.0000	5.0000	0.2500	0.5000	-0.5000	0.4258	0.0144	-0.0525
3.0000	5.0000	0.2500	0.5000	-0.5000	0.3559	0.0210	0.0011
4.0000	5.0000	0.2500	0.5000	-0.5000	0.5152	0.0180	0.0148
5.0000	5.0000	0.2500	0.5000	-0.5000	0.1479	-0.0064	0.0194
6.0000	5.0000	0.2500	0.5000	-0.5000	0.3937	0.0361	0.0186
7.0000	5.0000	0.2500	0.5000	-0.5000	-0.3025	-0.0003	-0.0064
8.0000	5.0000	0.2500	0.5000	-0.5000	0.1141	0.0333	0.0378
9.0000	5.0000	0.2500	0.5000	-0.5000	-0.1756	0.0019	0.0027
10.0000	5.0000	0.2500	0.5000	-0.5000	0.2393	-0.0159	0.0340
11.0000	5.0000	0.2500	0.5000	-0.5000	0.0043	0.0032	-0.0227
12.0000	5.0000	0.2500	0.5000	-0.5000	0.0440	-0.0220	0.0054
13.0000	5.0000	0.2500	0.5000	-0.5000	-0.0166	0.0045	-0.0412
14.0000	5.0000	0.2500	0.5000	-0.5000	-0.2314	0.0553	0.0004
15.0000	5.0000	0.2500	0.5000	-0.5000	0.0941	0.0086	-0.0351
16.0000	5.0000	0.2500	0.5000	-0.5000	0.0005	-0.0272	0.0208
17.0000	5.0000	0.2500	0.5000	-0.5000	-0.1278	-0.0562	-0.0133
18.0000	5.0000	0.2500	0.5000	-0.5000	0.1400	0.0167	0.0272
19.0000	5.0000	0.2500	0.5000	-0.5000	0.0957	0.0187	0.0458
